cancer	standard_drug_name	hpo_term	go_term	2019_None
breast_cancer	PALBOCICLIB	HP:0001744	GO:0042803	139928000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0045893	123452000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0045944	208928000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0051219	158200000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0005515	11698700000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0005634	2188010000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0005654	1139060000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0005730	111839000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0005737	1236180000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0005739	171130000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0005794	103603000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0005829	1623590000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0005886	567712000.0
breast_cancer	PALBOCICLIB	HP:0002036	GO:0005515	142931000.0
breast_cancer	PALBOCICLIB	HP:0000219	GO:0042802	170970000.0
breast_cancer	PALBOCICLIB	HP:0000219	GO:0005515	4807360000.0
breast_cancer	PALBOCICLIB	HP:0000219	GO:0005634	824355000.0
breast_cancer	PALBOCICLIB	HP:0000219	GO:0005654	444214000.0
breast_cancer	PALBOCICLIB	HP:0000219	GO:0005737	403457000.0
breast_cancer	PALBOCICLIB	HP:0000219	GO:0005829	572529000.0
breast_cancer	PALBOCICLIB	HP:0000219	GO:0005886	178707000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0140030	227049000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0019899	335196000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0019904	273059000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0030674	231637000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0042393	231551000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0042802	953134000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0042803	227321000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0045893	196272000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0045944	333630000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0051219	227935000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0005515	21942100000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0005615	100357000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0005634	3601810000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0005654	1905900000.0
